iter	Logloss
0	0.6577319336
1	0.6239065552
2	0.5951609294
3	0.5671458435
4	0.5408445231
5	0.5173808289
6	0.499381307
7	0.4857781982
8	0.46931132
9	0.4572599284
10	0.4481126912
11	0.4360400899
12	0.4285696411
13	0.4185910543
14	0.4113006083
15	0.4042302704
16	0.396283493
17	0.3906133779
18	0.3838751729
19	0.379389445
20	0.3749616496
21	0.3705535889
22	0.3663347371
23	0.3634223938
24	0.3595976257
25	0.3558297984
26	0.3523936717
27	0.3485911814
28	0.3463761393
29	0.3452239482
30	0.3439517212
31	0.3421787008
32	0.339411672
33	0.3381258138
34	0.3359007772
35	0.3340722148
36	0.3329114532
37	0.3306252797
38	0.3301618449
39	0.3295520782
40	0.3280152639
41	0.3272261302
42	0.3262065379
43	0.3243089803
44	0.3233098857
45	0.3228342438
46	0.3220050049
47	0.3214185333
48	0.3204176839
49	0.3197780863
50	0.3191693624
51	0.3186463928
52	0.3178171794
53	0.3173003642
54	0.3161482493
55	0.3156900024
56	0.3148630778
57	0.3141663615
58	0.3134441121
59	0.313042628
60	0.3119406891
61	0.3115254211
62	0.3107055155
63	0.3097372437
64	0.3092684428
65	0.3085003153
66	0.3076263682
67	0.3071150208
68	0.306595815
69	0.3062645213
70	0.3055762227
71	0.3051353963
72	0.304605484
73	0.3042030334
74	0.303784256
75	0.3032582347
76	0.3025104523
77	0.3020263163
78	0.3013833618
79	0.3009312439
80	0.300629425
81	0.300284373
82	0.2996180725
83	0.2992737071
84	0.2989683024
85	0.2984078725
86	0.2980315145
87	0.2978174845
88	0.2973480479
89	0.2970646413
90	0.2966740926
91	0.2961878967
92	0.2959423828
93	0.2956666311
94	0.2953057861
95	0.2948812866
96	0.294456075
97	0.2938935852
98	0.2933468628
99	0.2928327179
100	0.2923116048
101	0.2918324025
102	0.2916512553
103	0.2912837728
104	0.2909447988
105	0.2907238261
106	0.2903574117
107	0.2900303396
108	0.289574585
109	0.289208552
110	0.2887871043
111	0.2883781433
112	0.2880486552
113	0.287549057
114	0.2871512349
115	0.2868962606
116	0.2864093526
117	0.2859073385
118	0.2855082703
119	0.2849117788
120	0.2847145081
121	0.284314448
122	0.2837846375
123	0.2835730489
124	0.2833083598
125	0.2830033366
126	0.282755839
127	0.2823078664
128	0.282035675
129	0.2818198649
130	0.2814596303
131	0.281113739
132	0.2805746969
133	0.28026474
134	0.2801008606
135	0.2795764923
136	0.2794416555
137	0.2790921529
138	0.278630778
139	0.278244222
140	0.2779456584
141	0.2776428477
142	0.2772456868
143	0.2768584188
144	0.276493632
145	0.2760346476
146	0.2757715352
147	0.2755114492
148	0.2751835887
149	0.2747982788
150	0.2745491536
151	0.2742522176
152	0.2737924703
153	0.2735998789
154	0.2731956991
155	0.2727984365
156	0.2724891663
157	0.2718787638
158	0.2716418966
159	0.271412557
160	0.2711723836
161	0.2707374064
162	0.2704513041
163	0.2702988434
164	0.2700609843
165	0.2697678121
166	0.2694060771
167	0.2691679637
168	0.2687924957
169	0.2685105387
170	0.2681599935
171	0.267847875
172	0.2674739583
173	0.2669669342
174	0.2667465719
175	0.2662957509
176	0.2660041046
177	0.2658816274
178	0.265530599
179	0.2652386983
180	0.2649949137
181	0.2646501668
182	0.264358724
183	0.2640344747
184	0.2636245219
185	0.2634346517
186	0.263102239
187	0.2628944397
188	0.2626854451
189	0.2623412069
190	0.2618883769
191	0.2613378652
192	0.2610554504
193	0.2606636302
194	0.2601754252
195	0.2598168945
196	0.2594668579
197	0.259323349
198	0.2590264893
199	0.2584665934
200	0.2579248047
201	0.2575346375
202	0.2573889923
203	0.2570514425
204	0.2565632629
205	0.2560850016
206	0.2556509908
207	0.2552152507
208	0.2547670492
209	0.254311854
210	0.2540374502
211	0.2536270905
212	0.2534806315
213	0.2530113729
214	0.2525111389
215	0.2522017415
216	0.2517514547
217	0.251457723
218	0.2508782196
219	0.2505149841
220	0.250162913
221	0.2497569784
222	0.2490918477
223	0.2485531362
224	0.248194046
225	0.2478472392
226	0.2476378377
227	0.2473100281
228	0.2468945312
229	0.2464557902
230	0.2460204315
231	0.2455567424
232	0.2452375285
233	0.2449341329
234	0.2446499888
235	0.244101766
236	0.2437119039
237	0.2433641052
238	0.24290802
239	0.2423813629
240	0.2420544434
241	0.2416605886
242	0.2414611816
243	0.2411934408
244	0.2407673136
245	0.240423584
246	0.2400032552
247	0.2397280121
248	0.2394406637
249	0.2389355723
250	0.238398997
251	0.2382185872
252	0.2379813131
253	0.2377131653
254	0.2372821554
255	0.2368392944
256	0.2365024058
257	0.2361895752
258	0.2357607015
259	0.2354209137
260	0.2351771545
261	0.2349052938
262	0.2344983927
263	0.2341660055
264	0.2338273621
265	0.2336399841
266	0.2331755066
267	0.2328733826
268	0.2324822235
269	0.2319610087
270	0.2315047455
271	0.2312851969
272	0.2308808899
273	0.230477829
274	0.2300679525
275	0.2297010295
276	0.2292867025
277	0.2289938609
278	0.2286624908
279	0.2284480286
280	0.2281078084
281	0.2276965841
282	0.2274031067
283	0.2270429484
284	0.2267830404
285	0.2264959208
286	0.2260550944
287	0.2257788086
288	0.2255551656
289	0.225296224
290	0.2250586446
291	0.2248195903
292	0.2246602376
293	0.2242922211
294	0.2238091787
295	0.2234373983
296	0.2232107035
297	0.2229509735
298	0.2226196289
299	0.2223221842
